"Rank","Country","UCI Team","Rider ID","Rider Name","Price","Score 2016","Score 2017"
261,"USA","TVW",1792,"Carmen Small",18,1396,0
261,"SUI","XYZ",2363,"Jolanda Neff",12,905,0
261,"SUI","TVW",1908,"Doris Schweizer",6,505,0
261,"USA","XYZ",1712,"Shelley Olds",6,450,0
261,"BLR","BPK",3305,"Ksenia Tuhai",4,385,0
261,"FRA","MIC",1582,"Edwige Pitel",4,370,0
261,"USA","TIB",2419,"Brianna Walle",4,310,0
261,"TPE","SER",3258,"Ting Ying Huang",4,286,0
261,"FRA","SAS",1589,"Pascale Jeuland",4,285,0
261,"USA","TIB",2594,"Heather Fischer",2,255,0
261,"NED","MVC",2117,"Kirsten Peetoom",2,250,0
261,"CAN","WNT",3316,"Tara Whitten",2,245,0
261,"CZE","XYZ",2351,"Martina Sablikova",2,200,0
261,"NED","XYZ",3615,"Femke Van Kessel",2,200,0
261,"ITA","VAI",1909,"Alessia Martini",2,180,0
261,"RUS","XYZ",1836,"Natalia Boyarskaya",2,175,0
261,"NED","LWK",3075,"Anouk Rijff",2,170,0
261,"NZL","XYZ",1888,"Joanne Kiesanowski",2,165,0
261,"AUT","LSL",3634,"Anna Kiesenhofer",2,165,0
261,"RUS","XYZ",1819,"Tatiana Antoshina",4,160,0
261,"GER","XYZ",3616,"Katharina Venjakob",2,160,0
261,"CAN","T20",2997,"Annie Foreman Mackey",2,145,0
261,"BEL","LSL",1699,"Jessie Daams",2,140,0
261,"FRA","LWD",1580,"Amelie Rivat",2,130,0
261,"AUS","ALE",1575,"Carlee Taylor",2,130,0
261,"RUS","XYZ",2161,"Elena Kuchinskaya",2,125,0
261,"BEL","LSL",2311,"Kaat Van der Meulen",2,122,0
261,"POL","XYZ",2156,"Paulina Brzezna",2,120,0
261,"BEL","XYZ",1491,"Lieselot Decroix",1,100,0
261,"ETH","XYZ",3102,"Eyerusalem Kelil",1,100,0
261,"MEX","XYZ",1745,"Veronica Leal Balderas",1,100,0
261,"HKG","GPC",3256,"Zhao Juan Meng",1,100,0
261,"KAZ","ASA",3460,"Natalya Saifutdinova",1,100,0
261,"ESP","WHT",1465,"Anna Sanchis Chafer",1,100,0
261,"NED","PVD",3058,"Chanella Stougje",1,100,0
261,"LTU","XYZ",2078,"Ausrine Trebaite",1,100,0
261,"SVK","XYZ",3517,"Lucia Valachova",1,100,0
261,"AUS","XYZ",2758,"Kimberley Wells",1,100,0
261,"KAZ","XYZ",3499,"Yekaterina Yuraitis",1,100,0
261,"AUS","XYZ",3617,"Kirsten howard",1,90,0
261,"GER","XYZ",3618,"Stefanie Paul",1,80,0
261,"AUS","XYZ",3619,"Erin Kinnealy",1,70,0
261,"COL","UHC",3468,"Diana Carolina Penuela Martinez",1,70,0
261,"BEL","XYZ",1924,"Anisha Vekemans",1,70,0
261,"USA","HBS",2945,"Elizabeth Lechuga (Wilborne)",1,65,0
261,"GBR","XYZ",1701,"Emma Pooley",2,60,0
261,"NED","MVC",3620,"Marieke Kerkvliet",1,60,0
261,"NED","XYZ",1867,"Vera Koedooder",1,60,0
261,"GBR","CBT",2554,"Ciara Horne",1,55,0
261,"AUS","ZZZ",1870,"Lauren Rowney",1,52,0
261,"SUI","XYZ",3456,"Nicole Brändli",1,50,0
261,"NZL","XYZ",1919,"Emily Collins",1,50,0
261,"GER","XYZ",3573,"Jacqueline Dietrich",1,50,0
261,"NED","MVC",3621,"Femke Geeris",1,50,0
261,"GBR","WHT",2383,"Amy Roberts",1,45,0
261,"GBR","DRP",3633,"Laura Massey",1,40,0
261,"NED","XYZ",2121,"Linda Ringlever",1,40,0
261,"SVK","BPK",3078,"Tereza Medvedova",1,35,0
261,"AUS","ORS",3647,"Jessica Allen",1,30,0
261,"GER","XYZ",3622,"Lea Feder",1,30,0
261,"CAN","RLW",3503,"Sara Poidevin",1,30,0
261,"USA","CPC",1534,"Alison Tetrick",1,30,0
261,"CAN","T20",2290,"Jasmin Duehring",1,25,0
261,"NED","XYZ",2911,"Evy Kuijpers",1,25,0
261,"USA","XYZ",2195,"Kathryn Donovan",1,20,0
261,"NED","PVD",2569,"Jermaine Post",1,20,0
261,"USA","XYZ",3462,"Jessica Prinner",1,20,0
261,"POL","XYZ",3609,"Alicja Ratajczak",1,20,0
261,"NED","PVD",1845,"Esra Tromp",1,20,0
261,"ITA","ALE",3508,"Martina Alzini",1,18,0
261,"ITA","TOG",1904,"Irene Bitto",1,15,0
261,"ITA","VAI",3524,"Lisa De Ranieri",1,15,0
261,"NED","LWK",1504,"Winanda Spoor",1,12,0
261,"POL","XYZ",2271,"Monika Brzezna",1,10,0
261,"USA","UHC",3586,"Janelle Cole",1,10,0
261,"GER","SER",1777,"Daniela Gass",1,10,0
261,"ITA","TOG",2381,"Asja Paladin",1,10,0
261,"GER","XYZ",3574,"Wiebke Rodieck",1,10,0
261,"FRA","SAS",2373,"Iris Sachet",1,10,0
261,"NED","PVD",2916,"Kyara Stijns",1,10,0
261,"USA","T20",3566,"Gretchen Stumhofer",1,10,0
261,"USA","TIB",3580,"Jennifer Tetrick",1,8,0
261,"BEL","SVE",2958,"Kelly Van Den Steen",1,5,0
261,"CAN","XYZ",1786,"Annie Ewart",1,2,0
261,"USA","XYZ",1544,"Lauren Tamayo",1,2,0
261,"NED","XYZ",3864,"Loes Adegeest",1,0,0
261,"NAM","BDP",3666,"Vera Adrian",1,0,0
261,"KAZ","ASA",3661,"Rinata Akhmetcha",1,0,0
261,"USA","RLW",2972,"Erica Allar",1,0,0
261,"MEX","T20",2082,"Nancy Arreola",1,0,0
261,"BEL","XYZ",1653,"Evelyn Arys",1,0,0
261,"AUT","WNT",3534,"Anna Badegruber",1,0,0
261,"CHN","GPC",3259,"Yue Bai",1,0,0
261,"AUS","ORS",3690,"Georgia Baker",1,0,0
261,"ITA","TOG",2380,"Beatrice Bartelloni",1,0,0
261,"USA","HBS",2325,"Lindsay Bayer",1,0,0
261,"NED","XYZ",3253,"Nike Beckeringh",1,0,0
261,"SLO","BTC",3669,"Ula Berlan",1,0,0
261,"ITA","XYZ",1900,"Elena Berlato",1,0,0
261,"CAN","XYZ",1577,"Julie Beveridge",1,0,0
261,"BEL","SVE",3698,"Nathalie Bex",1,0,0
261,"FRA","XYZ",1590,"Sandrine Bideau",1,0,0
261,"ITA","SER",3696,"Letizia Borghesi",1,0,0
261,"ITA","GSB",2397,"Simona Bortolotti",1,0,0
261,"CAN","XYZ",2583,"Alizee Brien",1,0,0
261,"CAN","XYZ",1974,"Laura Brown",1,0,0
261,"ARG","TIB",3701,"Nicolle Marie Bruderer Cofino",1,0,0
261,"ITA","VAI",3523,"Alessia  Bulleri",1,0,0
261,"ITA","GSB",1902,"Francesca Cauz",1,0,0
261,"USA","XYZ",2429,"Amy Charity",1,0,0
261,"GBR","DRP",3089,"Anna Christian",1,0,0
261,"CYP","SER",3695,"Andria Christophorou",1,0,0
261,"RUS","XYZ",2266,"Anastasiya Chulkova",1,0,0
261,"CAN","CYC",3002,"Justine Clift",1,0,0
261,"GBR","LWD",3483,"Alice Cobb",1,0,0
261,"GBR","DRP",3676,"Sophie Coleman",1,0,0
261,"BEL","SVE",1927,"Gilke Croket",1,0,0
261,"AUS","WHT",2296,"Amy Cure",1,0,0
261,"ITA","MIC",3689,"Alessia Dal Magro",1,0,0
261,"ITA","MIC",3688,"Elisa Dalla Valle",1,0,0
261,"RSA","VAI",3476,"Heidi Dalton",1,0,0
261,"NED","LWK",1945,"Kim de Baat",1,0,0
261,"BEL","SVE",3061,"Nicky Degrendele",1,0,0
261,"BEL","SVE",3073,"Fien Delbaere",1,0,0
261,"BEL","LWD",3683,"Mieke Docx",1,0,0
261,"CHN","GPC",1614,"Huang Dong Yan",1,0,0
261,"FRA","FDJ",3016,"Annabelle Dreville",1,0,0
261,"BEL","SVE",2957,"Demmy Druyts",1,0,0
261,"BEL","SVE",3487,"Lenny Druyts",1,0,0
261,"FRA","XYZ",1584,"Fiona Dutriaux",1,0,0
261,"USA","XYZ",1535,"Andrea Dvorak",1,0,0
261,"AUT","MVC",2385,"Verena Eberhardt",1,0,0
261,"SLO","BTC",3535,"Tanja Elsner",1,0,0
261,"USA","XYZ",1756,"Robin Farina",1,0,0
261,"ESP","LTK",3532,"Empar Felix Tur",1,0,0
261,"BRA","XYZ",1548,"Uenia Fernandes",1,0,0
261,"BRA","SER",2312,"Clemilda Fernandes Silva",1,0,0
261,"FRA","SAS",1638,"Christel Ferrier-Bruneau",1,0,0
261,"ITA","GSB",3091,"Giorgia Fraiegari",1,0,0
261,"NOR","HPU",3677,"Ingvild Gaaskjenn",1,0,0
261,"ISR","WM3",2057,"Roten Gafinovitz",1,0,0
261,"ITA","MIC",3687,"Viola Rita Galli",1,0,0
261,"CUB","MIC",3686,"Iraida Garcia Ocasio",1,0,0
261,"GBR","WHT",3474,"Grace Garner",1,0,0
261,"ITA","SER",3494,"Alice Gasparini",1,0,0
261,"BEL","LWD",1760,"Tara Gins",1,0,0
261,"ESP","LTK",3681,"Beatriu Gomez Franquet",1,0,0
261,"ESP","LTK",1689,"Lucia Gonzalez Blanco",1,0,0
261,"GBR","COL",2028,"Emma Grant",1,0,0
261,"FRA","FDJ",3485,"Victorie Guilman",1,0,0
261,"VEN","XYZ",2769,"Serika Guluma Ortiz",1,0,0
261,"JPN","WHT",2073,"Mayuko Hagiwara",1,0,0
261,"USA","UHC",1894,"Lauren Hall",1,0,0
261,"GER","TIB",3023,"Kathrin Hammes",1,0,0
261,"NOR","HPU",1647,"Tone Hatteland Lima",1,0,0
261,"USA","XYZ",3114,"Sara Headly",1,0,0
261,"USA","XYZ",1536,"Cari Higgins",1,0,0
261,"AUS","COL",2151,"Kendelle Hodges",1,0,0
261,"AUS","XYZ",1475,"Joanne Hogan",1,0,0
261,"GBR","DRP",3675,"Elizabeth Holden",1,0,0
261,"AUS","XYZ",1603,"Melissa Hoskins",1,0,0
261,"CHN","GPC",1617,"Li Huang",1,0,0
261,"ESP","BDP",3536,"Erati Idirin Egana",1,0,0
261,"ESP","LTK",3680,"Ziortza Isasi Cristobal",1,0,0
261,"KAZ","ASA",3660,"Amiliya Ishakova",1,0,0
261,"KOR","XYZ",3261,"Hyeong Yeong Kang",1,0,0
261,"USA","CPC",1541,"Kaitlin Keough (Antonneau)",1,0,0
261,"SLO","BDP",2899,"Spela Kern",1,0,0
261,"KOR","XYZ",3260,"Huyn Ji Kim",1,0,0
261,"GER","PVD",2938,"Anna Knauer",1,0,0
261,"NED","CPC",2562,"Willeke Knol",1,0,0
261,"USA","XYZ",3254,"Lauren Komanski",1,0,0
261,"UKR","MIC",2189,"Valeriya Kononenko",1,0,0
261,"HUN","MVC",2893,"Veronika Kormos",1,0,0
261,"RUS","XYZ",1490,"Oxana Kozonchuk",1,0,0
261,"GER","XYZ",1828,"Hanka Kupfernagel",1,0,0
261,"FRA","SAS",3060,"Soline Lamboley",1,0,0
261,"UKR","VAI",1557,"Silvija Latozaite",1,0,0
261,"ITA","XYZ",2061,"Eva Lechner",1,0,0
261,"ITA","TOG",3084,"Elena Leonardi",1,0,0
261,"ESP","BDP",3537,"Naia Leonet Irureta",1,0,0
261,"CHN","GPC",2592,"Hongyu Liang",1,0,0
261,"ESP","LTK",3533,"Elisabet Llaber Ferrer",1,0,0
261,"DEN","XYZ",2947,"Rikke Lønne",1,0,0
261,"ESP","LTK",1685,"Belen Lopez",1,0,0
