Year,Rider ID,Rider Name,Country,UCI Team,UCI Cat,Age,Price,Score
2010,33.0,Kim Kirchen,LUX,KAT,WT,,14.0,0.0
2011,33.0,Kim Kirchen,LUX,XYZ,,,6.0,0.0
2010,34.0,Thomas Löfkvist,SWE,SKY,WT,26.0,14.0,185.0
2011,34.0,Thomas Löfkvist,SWE,SKY,WT,27.0,8.0,55.0
2012,34.0,Thomas Löfkvist,SWE,SKY,WT,28.0,4.0,50.0
2013,34.0,Thomas Löfkvist,SWE,IAM,PROF,29.0,1.0,10.0
2014,34.0,Thomas Löfkvist,SWE,IAM,PROF,30.0,1.0,0.0
2010,35.0,Alessandro Petacchi,ITA,LAM,WT,36.0,14.0,1042.0
2011,35.0,Alessandro Petacchi,ITA,LAM,WT,37.0,16.0,710.0
2012,35.0,Alessandro Petacchi,ITA,LAM,WT,38.0,10.0,200.0
2013,35.0,Alessandro Petacchi,ITA,LAM,WT,39.0,4.0,55.0
2014,35.0,Alessandro Petacchi,ITA,OPQ,WT,40.0,2.0,195.0
2015,35.0,Alessandro Petacchi,ITA,YEL,PROF,41.0,2.0,10.0
2010,36.0,Joaquim Rodriguez,ESP,KAT,WT,31.0,14.0,1840.0
2011,36.0,Joaquim Rodriguez,ESP,KAT,WT,32.0,24.0,2334.0
2012,36.0,Joaquim Rodriguez,ESP,KAT,WT,33.0,26.0,3837.0
2013,36.0,Joaquim Rodriguez,ESP,KAT,WT,34.0,34.0,2520.0
2014,36.0,Joaquim Rodriguez,ESP,KAT,WT,35.0,34.0,1319.0
2015,36.0,Joaquim Rodriguez,ESP,KAT,WT,36.0,26.0,2205.0
2016,36.0,Joaquim Rodriguez,ESP,KAT,WT,37.0,30.0,1075.0
2010,37.0,Fränk Schleck,LUX,SAX,WT,30.0,14.0,1224.0
2011,37.0,Fränk Schleck,LUX,LEO,WT,31.0,16.0,1344.0
2012,37.0,Fränk Schleck,LUX,RNT,WT,32.0,16.0,340.0
2013,37.0,Fränk Schleck,LUX,RLT,WT,33.0,14.0,0.0
2014,37.0,Fränk Schleck,LUX,TFR,WT,34.0,10.0,365.0
2015,37.0,Fränk Schleck,LUX,TFR,WT,35.0,6.0,180.0
2016,37.0,Fränk Schleck,LUX,TFS,WT,36.0,2.0,20.0
2010,38.0,Alexandre Vinokourov,KAZ,AST,WT,37.0,14.0,1482.0
2011,38.0,Alexandre Vinokourov,KAZ,AST,WT,38.0,18.0,712.0
2012,38.0,Alexandre Vinokourov,KAZ,AST,WT,39.0,10.0,370.0
2010,39.0,Daniele Bennati,ITA,LIQ,WT,30.0,12.0,651.0
2011,39.0,Daniele Bennati,ITA,LEO,WT,31.0,8.0,911.0
2012,39.0,Daniele Bennati,ITA,RNT,WT,32.0,12.0,615.0
2013,39.0,Daniele Bennati,ITA,TST,WT,33.0,10.0,204.0
2014,39.0,Daniele Bennati,ITA,TCS,WT,34.0,4.0,120.0
2015,39.0,Daniele Bennati,ITA,TCS,WT,35.0,2.0,124.0
2016,39.0,Daniele Bennati,ITA,TNK,WT,36.0,2.0,510.0
2017,39.0,Daniele Bennati,ITA,MOV,WT,37.0,4.0,150.0
2018,39.0,Daniele Bennati,ITA,MOV,WT,38.0,1.0,0.0
2019,39.0,Daniele Bennati,ITA,MOV,WT,39.0,1.0,0.0
2010,40.0,Jakob Fuglsang,DEN,SAX,WT,25.0,12.0,650.0
2011,40.0,Jakob Fuglsang,DEN,LEO,WT,26.0,10.0,645.0
2012,40.0,Jakob Fuglsang,DEN,RNT,WT,27.0,8.0,630.0
2013,40.0,Jakob Fuglsang,DEN,AST,WT,28.0,12.0,556.0
2014,40.0,Jakob Fuglsang,DEN,AST,WT,29.0,10.0,230.0
2015,40.0,Jakob Fuglsang,DEN,AST,WT,30.0,8.0,467.0
2016,40.0,Jakob Fuglsang,DEN,AST,WT,31.0,6.0,713.0
2017,40.0,Jakob Fuglsang,DEN,AST,WT,32.0,10.0,465.0
2018,40.0,Jakob Fuglsang,DEN,AST,WT,33.0,4.0,950.0
2019,40.0,Jakob Fuglsang,DEN,AST,WT,34.0,8.0,2421.0
2020,40.0,Jakob Fuglsang,DEN,AST,WT,35.0,24.0,0.0
2010,41.0,Johnny Hoogerland,NED,VAC,PROF,27.0,12.0,155.0
2011,41.0,Johnny Hoogerland,NED,VCD,WT,28.0,4.0,260.0
2012,41.0,Johnny Hoogerland,NED,VCD,WT,29.0,4.0,145.0
2013,41.0,Johnny Hoogerland,NED,VCD,WT,30.0,6.0,100.0
2014,41.0,Johnny Hoogerland,NED,AND,PROF,31.0,2.0,0.0
2015,41.0,Johnny Hoogerland,NED,ROO,PROF,32.0,1.0,0.0
2016,41.0,Johnny Hoogerland,NED,ROP,PROF,33.0,1.0,0.0
2010,42.0,Serguei Ivanov,RUS,KAT,WT,,12.0,65.0
2011,42.0,Serguei Ivanov,RUS,KAT,WT,,6.0,70.0
2010,43.0,Daniel Martin,IRL,GRM,WT,24.0,12.0,490.0
2011,43.0,Daniel Martin,IRL,GRM,WT,25.0,10.0,1076.0
2012,43.0,Daniel Martin,IRL,GRS,WT,26.0,16.0,610.0
2013,43.0,Daniel Martin,IRL,GRS,WT,27.0,12.0,1363.0
2014,43.0,Daniel Martin,IRL,GRS,WT,28.0,22.0,1155.0
2015,43.0,Daniel Martin,IRL,TCG,WT,29.0,22.0,515.0
2016,43.0,Daniel Martin,IRL,EQS,WT,30.0,18.0,1111.0
2017,43.0,Daniel Martin,IRL,QST,WT,31.0,16.0,1445.0
2018,43.0,Daniel Martin,IRL,UAD,WT,32.0,22.0,935.0
2019,43.0,Daniel Martin,IRL,UAD,WT,33.0,14.0,630.0
2020,43.0,Daniel Martin,IRL,ISN,WT,34.0,8.0,0.0
2010,44.0,Riccardo Riccò,ITA,VAC,PROF,27.0,12.0,490.0
2011,44.0,Riccardo Riccò,ITA,VCD,WT,28.0,16.0,0.0
2012,44.0,Riccardo Riccò,ITA,XYZ,,29.0,1.0,0.0
2013,44.0,Riccardo Riccò,ITA,XYZ,,30.0,1.0,0.0
2014,44.0,Riccardo Riccò,ITA,XYZ,,31.0,1.0,0.0
2010,45.0,Luis Leon Sanchez,ESP,GCE,WT,27.0,12.0,1130.0
2011,45.0,Luis Leon Sanchez,ESP,RAB,WT,28.0,16.0,215.0
2012,45.0,Luis Leon Sanchez,ESP,RAB,WT,29.0,6.0,821.0
2013,45.0,Luis Leon Sanchez,ESP,BLA,WT,30.0,14.0,260.0
2014,45.0,Luis Leon Sanchez,ESP,CJR,PROF,31.0,6.0,190.0
2015,45.0,Luis Leon Sanchez,ESP,AST,WT,32.0,4.0,95.0
2016,45.0,Luis Leon Sanchez,ESP,AST,WT,33.0,2.0,376.0
2017,45.0,Luis Leon Sanchez,ESP,AST,WT,34.0,6.0,305.0
2018,45.0,Luis Leon Sanchez,ESP,AST,WT,35.0,2.0,279.0
2019,45.0,Luis Leon Sanchez,ESP,AST,WT,36.0,2.0,305.0
