	Country 	UCI Team 	UCI Cat 	Rider 	Born 	Price 	Prev 	Score ↓
285. 	FRA 	FDJ 	WT 	Olivier Le Gac 	1993 	1 	30 	150
286. 	NED 	RNL 	PROF 	Oscar Riesebeek 	1992 	1 	20 	150
287. 	USA 	EFD 	WT 	Taylor Phinney 	1990 	1 	10 	150
288. 	ITA 	QST 	WT 	Davide Martinelli 	1993 	1 	20 	148
289. 	AUS 	MTS 	WT 	Damien Howson 	1992 	2 	145 	146
290. 	ROU 	UHC 	PROF 	Serghei Tvetcov 	1988 	2 	215 	145
291. 	POL 	CCC 	PROF 	Szymon Sajnok 	1997 	1 	0 	145
292. 	GER 	CCC 	PROF 	Jonas Koch 	1993 	1 	30 	144
293. 	NOR 	UAD 	WT 	Stake Vegard Laengen 	1989 	1 	140 	141
294. 	SLO 	TKA 	WT 	Simon Spilak 	1986 	6 	567 	140
295. 	ITA 	FDJ 	WT 	Davide Cimolai 	1989 	1 	96 	140
296. 	ERI 	DDD 	WT 	Merhawi Kudus Ghebremedhin 	1994 	1 	75 	140
297. 	FRA 	VCC 	PROF 	Jérémy Lecroq 	1995 	1 	60 	140
298. 	ITA 	ANS 	PROF 	Andrea Vendrame 	1994 	1 	55 	140
299. 	NOR 	TJI 	CONT 	Carl Fredrik Hagen 	1991 	1 	54 	140
300. 	FRA 	COF 	PROF 	Stéphane Rossetto 	1987 	1 	30 	140
301. 	BEL 	VWC 	PROF 	Dries De Bondt 	1991 	1 	0 	140
302. 	USA 	RLY 	PROF 	Colin Joyce 	1994 	1 	0 	140
303. 	ESP 	DMP 	PROF 	Javier Moreno 	1984 	1 	0 	140
304. 	ITA 	BRD 	PROF 	Paolo Simion 	1992 	1 	0 	140
305. 	GBR 	MGT 	CONT 	Connor Swift 	1995 	1 	0 	135
306. 	ITA 	UAD 	WT 	Edward Ravasi 	1994 	1 	10 	134
307. 	SLO 	UAD 	WT 	Jan Polanc 	1992 	6 	560 	131
308. 	ESP 	MOV 	WT 	Jaime Roson 	1993 	4 	445 	130
309. 	AUT 	BOH 	WT 	Lukas Pöstlberger 	1992 	4 	435 	130
310. 	NED 	RNL 	PROF 	Coen Vermeltfoort 	1988 	2 	350 	130
311. 	BEL 	COF 	PROF 	Bert Van Lerberghe 	1992 	2 	345 	130
312. 	ISR 	ICA 	PROF 	Roy Goldstein 	1993 	1 	100 	130
