Rider ID,Country,UCI Team 2012,Rider Name,Price 2012,Score 2012,Gender,Born,Age 2012,UCI Team 2013,Price 2013,Score 2013,Age 2013,UCI Team 2014,Price 2014,Score 2014,Age 2014,UCI Team 2015,Price 2015,Score 2015,Age 2015,UCI Team 2016,Price 2016,Score 2016,Age 2016,UCI Team 2017,Price 2017,Score 2017,Age 2017,UCI Team 2018,Price 2018,Score 2018,Age 2018,UCI Team 2019,Price 2019,Score 2019,Age 2019,UCI Team 2020,Price 2020,Score 2020,Age 2020
3627,NED,,Marjolein van 't Geloof,,,Women,1996.0,,,,,,,,,,,,,,JVA,1.0,40.0,20.0,XYZ,1.0,30.0,21.0,LSL,1.0,350.0,22.0,ALE,4.0,130.0,23.0,DRP,2.0,0.0,24.0
3647,AUS,,Jessica Allen,,,Women,1993.0,,,,,,,,,,,,,,OGE,1.0,30.0,23.0,ORS,1.0,0.0,24.0,MTS,1.0,77.0,25.0,MTS,1.0,24.0,26.0,MTS,1.0,0.0,27.0
3622,GER,,Lea Feder,,,Women,1991.0,,,,,,,,,,,,,,XYZ,1.0,30.0,25.0,XYZ,1.0,0.0,26.0,XYZ,1.0,0.0,27.0,,,,,,,,
3503,CAN,,Sara Poidevin,,,Women,1996.0,,,,,,,,,,,,,,RLW,1.0,30.0,20.0,RLW,1.0,0.0,21.0,RLW,1.0,350.0,22.0,RLW,6.0,0.0,23.0,RLW,2.0,0.0,24.0
3572,CZE,,Jarmila Machacova,,,Women,1986.0,,,,,,,,,,,,,,XYZ,1.0,20.0,30.0,XYZ,1.0,20.0,31.0,XYZ,1.0,100.0,32.0,XYZ,1.0,20.0,33.0,XYZ,1.0,0.0,34.0
3462,USA,,Jessica Prinner,,,Women,1992.0,,,,,,,,,,,,,,RLW,1.0,20.0,24.0,XYZ,1.0,0.0,25.0,XYZ,1.0,0.0,26.0,,,,,,,,
3609,POL,,Alicja Ratajczak,,,Women,1995.0,,,,,,,,,,,,,,XYZ,1.0,20.0,21.0,XYZ,1.0,0.0,22.0,XYZ,1.0,0.0,23.0,,,,,,,,
3508,ITA,,Martina Alzini,,,Women,1997.0,,,,,,,,,,,,,,ALE,1.0,18.0,19.0,ALE,1.0,0.0,20.0,ASA,1.0,40.0,21.0,BIG,1.0,0.0,22.0,BIG,1.0,0.0,23.0
3524,ITA,,Lisa De Ranieri,,,Women,1997.0,,,,,,,,,,,,,,VAI,1.0,15.0,19.0,VAI,1.0,0.0,20.0,VAI,1.0,0.0,21.0,CZF,1.0,0.0,22.0,XYZ,1.0,0.0,23.0
3605,AUS,,Shannon Malseed,,,Women,1994.0,,,,,,,,,,,,,,XYZ,1.0,15.0,22.0,XYZ,1.0,12.0,23.0,TIB,2.0,157.0,24.0,TIB,2.0,101.0,25.0,TIB,1.0,0.0,26.0
3638,NOR,,Katrine Aalerud,,,Women,1994.0,,,,,,,,,,,,,,XYZ,1.0,10.0,22.0,HPU,1.0,50.0,23.0,TVC,1.0,65.0,24.0,TVC,1.0,180.0,25.0,MOV,2.0,0.0,26.0
3586,USA,,Janelle Cole,,,Women,1996.0,,,,,,,,,,,,,,T16,1.0,10.0,20.0,UHC,1.0,0.0,21.0,UHC,1.0,0.0,22.0,XYZ,1.0,0.0,23.0,,,,
3496,ITA,,Katia Ragusa,,,Women,1997.0,,,,,,,,,,,,,,SEF,1.0,10.0,19.0,BPK,1.0,45.0,20.0,BPK,1.0,0.0,21.0,BPK,1.0,10.0,22.0,ASA,1.0,0.0,23.0
3574,GER,,Wiebke Rodieck,,,Women,1996.0,,,,,,,,,,,,,,XYZ,1.0,10.0,20.0,XYZ,1.0,0.0,21.0,XYZ,1.0,30.0,22.0,XYZ,1.0,0.0,23.0,XYZ,1.0,0.0,24.0
3566,USA,,Gretchen Stumhofer,,,Women,1989.0,,,,,,,,,,,,,,CVB,1.0,10.0,27.0,T20,1.0,0.0,28.0,XYZ,1.0,0.0,29.0,,,,,,,,
3580,USA,,Jennifer Tetrick,,,Women,1981.0,,,,,,,,,,,,,,T16,1.0,8.0,35.0,TIB,1.0,0.0,36.0,TIB,1.0,0.0,37.0,XYZ,1.0,0.0,38.0,,,,
3509,NED,,Yara Kastelijn,,,Women,1997.0,,,,,,,,,,,,,,RBW,1.0,5.0,19.0,WM3,1.0,30.0,20.0,WAD,1.0,0.0,21.0,CCC,1.0,0.0,22.0,XYZ,1.0,0.0,23.0
3473,USA,,Bethany Allen,,,Women,1982.0,,,,,,,,,,,,,,ISG,1.0,0.0,34.0,,,,,,,,,,,,,,,,
3480,GBR,,Kate Archibald,,,Women,1994.0,,,,,,,,,,,,,,PAC,1.0,0.0,22.0,WNT,1.0,25.0,23.0,WHT,1.0,258.0,24.0,XYZ,4.0,0.0,25.0,XYZ,1.0,0.0,26.0
3534,AUT,,Anna Badegruber,,,Women,1997.0,,,,,,,,,,,,,,NOE,1.0,0.0,19.0,WNT,1.0,0.0,20.0,WNT,1.0,0.0,21.0,WNT,1.0,0.0,22.0,MUL,1.0,0.0,23.0
3501,ITA,,Sofia Beggin,,,Women,1997.0,,,,,,,,,,,,,,ASA,1.0,0.0,19.0,ASA,1.0,80.0,20.0,ASA,1.0,0.0,21.0,VAI,1.0,0.0,22.0,XYZ,1.0,0.0,23.0
3516,AUT,,Nathalie Birli,,,Women,1992.0,,,,,,,,,,,,,,NOE,1.0,0.0,24.0,,,,,,,,,,,,,,,,
